epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,validation_mAP
0,,,1.2694575187600687,0.6271604938271605,0.626359942448109,0.6812995551150478
1,0.5574985147310944,0.75869708994709,1.3733875491000989,0.634104938271605,0.6330989209500113,0.6892996560743877
2,0.19435394598693445,0.8596891534391534,1.5833772368637131,0.6294753086419753,0.6263703202400839,0.6834900662674862
3,-0.00898564893101889,0.916765873015873,1.8679082643838574,0.6220679012345679,0.618972156364353,0.667477665858208
4,-0.16802533048959006,0.966931216931217,1.9873021105189383,0.6242283950617284,0.6208794716683915,0.6700120087138737
5,-0.21710605295719923,0.9816468253968254,2.1714461668038076,0.6205246913580247,0.6179152163546533,0.6632245641157385
