true_label,Acoustic guitar,Applause,Bark,"Burping, eructation",Bus,Chime,Clarinet,Computer keyboard,Cough,Cowbell,Drawer open or close,Electric piano,Fart,Finger snapping,Fireworks,Flute,Glockenspiel,Gong,"Gunshot, gunfire",Harmonica,Hi-hat,Keys jangling,Knock,Laughter,Meow,Microwave oven,Saxophone,Scissors,Shatter,Squeak,Tambourine,Tearing,Telephone,Trumpet,"Violin, fiddle",Writing
Drawer open or close,0,0,0,3,1,5,0,4,6,1,76,2,2,6,8,9,5,0,6,0,0,9,6,1,1,10,0,2,1,0,1,7,3,0,0,5
Electric piano,8,0,0,0,0,0,2,0,0,0,0,138,0,0,2,2,8,1,0,1,1,0,0,1,0,0,1,1,0,0,2,0,3,1,3,5
Fart,1,1,1,2,2,0,2,0,0,0,5,2,120,1,1,0,2,0,1,0,1,0,12,11,12,0,0,0,0,0,0,0,0,1,1,1
Finger snapping,2,1,1,0,1,1,0,0,7,1,9,1,3,87,0,1,2,0,19,0,0,2,6,17,1,7,0,2,0,1,1,0,2,1,0,4
Fireworks,0,1,0,0,1,0,0,0,0,0,3,1,1,0,109,2,0,1,23,1,0,8,2,4,0,3,0,0,1,0,2,13,2,0,0,2
Flute,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,163,0,0,0,1,0,0,0,0,0,0,4,0,0,0,5,0,0,0,3,0
Glockenspiel,14,0,0,0,0,32,0,0,0,6,0,1,0,1,0,0,100,1,4,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0
Gong,2,0,0,0,0,2,0,0,0,0,1,2,0,0,1,1,3,160,1,0,0,2,0,1,0,0,0,0,2,0,0,0,0,1,0,1
"Gunshot, gunfire",0,1,0,0,0,0,0,1,0,0,1,0,3,1,14,0,1,0,124,1,1,4,7,2,0,8,0,5,1,1,0,1,1,0,1,1
Harmonica,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,148,1,1,2,0,1,0,0,0,0,0,5,0,1,0,12,0
Hi-hat,50,28,0,0,0,3,0,0,0,28,0,3,3,0,1,0,3,0,0,2,31,5,7,2,0,1,0,0,0,1,4,0,3,0,0,5
Keys jangling,0,0,0,0,1,9,0,8,0,0,4,4,0,0,2,0,0,4,5,0,5,90,5,2,0,8,0,5,7,0,4,10,1,0,0,6
Knock,0,1,0,0,7,5,0,2,4,0,12,1,0,3,2,1,0,0,9,0,1,8,90,6,1,8,0,0,0,1,0,1,5,2,0,10
Laughter,1,0,3,2,0,0,0,1,5,0,2,0,4,0,5,1,1,0,0,0,0,0,2,128,2,0,0,0,3,10,4,0,0,1,5,0
Meow,4,0,11,1,0,1,0,2,1,2,1,1,4,3,0,0,4,0,0,0,0,2,1,8,123,2,1,0,1,0,2,0,1,0,1,3
Microwave oven,3,0,0,2,15,0,0,0,0,1,16,3,2,0,2,6,7,5,1,1,0,12,6,1,1,76,0,0,1,0,2,0,2,3,1,11
Saxophone,0,0,0,1,0,0,2,0,0,0,0,1,1,0,1,3,1,0,0,22,1,0,0,0,0,0,112,0,0,2,2,0,0,26,5,0
Scissors,3,0,0,0,2,1,0,2,2,0,15,0,0,3,4,0,2,0,6,0,0,26,5,1,1,10,0,44,0,1,0,9,0,0,0,43
Shatter,0,0,0,3,0,4,0,1,0,2,5,3,4,0,2,0,1,1,2,0,10,5,2,7,10,1,0,0,102,3,7,3,1,0,0,1
Squeak,2,1,11,0,0,1,1,0,3,0,2,5,4,1,4,3,8,3,3,4,0,4,13,6,9,0,0,0,3,68,0,2,8,0,5,6
Tambourine,0,3,1,1,0,0,0,0,0,0,0,3,1,2,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,156,6,0,0,1,1
Tearing,3,0,0,0,1,6,0,2,0,0,4,0,0,3,11,0,11,0,1,1,0,4,7,2,1,9,0,3,0,0,0,93,3,0,1,14
Telephone,1,2,0,6,2,2,0,0,2,0,7,5,4,1,1,0,8,1,4,2,2,6,4,3,3,1,0,0,2,1,0,2,107,0,0,1
Trumpet,1,0,0,0,2,1,16,0,0,3,1,2,0,0,1,0,1,0,1,0,1,3,3,0,0,0,30,0,1,0,1,0,0,106,5,1
"Violin, fiddle",1,0,0,0,0,0,7,0,0,0,1,12,0,5,0,16,2,1,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,2,125,3
Writing,6,0,0,0,1,3,0,5,0,0,6,2,1,0,1,0,6,6,0,0,0,3,10,1,7,4,0,5,2,6,2,5,1,0,3,94
