50,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0
0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1
0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
0,0,2,46,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,3,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,55,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,36,0,1,0,1,0,0,1,0,0,0,12,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,3
0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,2,2,0,0,0,0,1
0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,1,0,0,0,4,0,0,0
0,0,0,0,0,0,0,0,41,0,0,0,0,3,1,0,0,0,0,0,0,0,2,10,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,5,0,0,0,52,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,2,1,0,0,1,0,0,34,0,0,2,3,1,0,0,2,0,0,1,0,0,0,2,0,4,1,0,0,1,1,0,0,3
5,0,0,0,0,0,0,0,0,0,0,47,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,1,2,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,1,0,0,0,41,0,0,0,0,9,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,0,0,4,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,39,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,4,1,0,0,0,0,1,0,0,0,1,0,0,0,44,0,0,1,2,0,0,0,0,2,1,0,0,0,3,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
16,10,0,0,0,0,0,1,0,9,0,1,2,0,0,0,0,1,0,0,14,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,31,2,1,0,4,0,5,3,2,4,0,1,0,0,0
0,0,0,0,0,0,0,3,0,0,4,0,0,4,0,0,0,0,1,0,0,3,39,0,0,0,0,2,0,0,0,0,0,0,0,4
0,0,0,1,1,0,0,0,2,0,0,0,2,0,0,0,0,1,0,1,0,0,0,43,0,2,0,0,4,0,1,0,1,0,1,0
1,1,6,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,1,1,0,0,0,1
0,0,0,0,6,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,4,0,0,2,37,0,0,0,0,4,0,1,0,0,1
0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,43,0,0,0,0,0,0,8,0,0
1,0,0,0,2,0,0,3,0,0,3,0,0,0,0,0,0,0,1,0,0,3,2,0,0,6,0,24,0,0,0,1,1,0,0,13
0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,2,6,0,0,4,0,0,0,38,1,1,1,1,0,0,0
1,0,2,2,0,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,2,6,0,0,0,2,27,0,1,6,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,57,0,0,0,0,2
0,1,0,0,1,0,0,6,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,10,1,0,0,31,0,0,0,4
0,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,4,0,0,0,0,41,0,0,2
0,0,0,0,0,0,9,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,1,0,0,40,0,0
2,0,0,0,0,0,4,0,0,0,0,0,0,1,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,45,0
2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,7,0,0,1,2,0,1,2,1,1,0,36
