epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1
0,,,1.0746466592506125,0.7189814814814814,0.7189465183990627
1,0.6635475200320047,0.8155753968253968,0.9371250991468076,0.7541666666666667,0.7537519899399129
2,0.2916187185498457,0.9246031746031746,1.0613187626556113,0.7509259259259259,0.7502593770041803
3,0.11535025937926202,0.9760912698412698,1.1528899722629122,0.7527777777777778,0.7512914986998191
4,0.04314768283613144,0.9963293650793651,1.1510797112076372,0.7541666666666667,0.7533555911041527
5,0.02628711172276073,0.9991071428571429,1.1797814236746893,0.7564814814814815,0.7556221934953258
6,0.01722680955888733,0.9998015873015873,1.2080795054082518,0.7541666666666667,0.7535264762461795
7,0.011928753684910517,1.0,1.234376350597099,0.7523148148148148,0.7517500331508525
8,0.008908203693609389,1.0,1.2459746113529913,0.7537037037037037,0.7531308654355089
