true_label,Acoustic guitar,Applause,Bark,"Burping, eructation",Bus,Chime,Clarinet,Computer keyboard,Cough,Cowbell,Drawer open or close,Electric piano,Fart,Finger snapping,Fireworks,Flute,Glockenspiel,Gong,"Gunshot, gunfire",Harmonica,Hi-hat,Keys jangling,Knock,Laughter,Meow,Microwave oven,Saxophone,Scissors,Shatter,Squeak,Tambourine,Tearing,Telephone,Trumpet,"Violin, fiddle",Writing
Acoustic guitar,132,10,0,0,1,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,1,0,1,0,0,0,11,0,0,0,3,0,0,1,8,0
Applause,1,135,0,0,0,0,0,0,0,0,4,0,0,0,0,0,14,0,1,0,1,0,2,5,1,0,0,0,0,0,14,0,0,0,1,1
Bark,0,0,152,3,0,0,0,0,2,0,1,2,0,3,0,0,0,0,0,0,0,0,1,3,6,0,0,0,4,2,0,0,1,0,0,0
"Burping, eructation",0,0,1,140,0,0,0,1,5,0,1,0,3,2,2,0,1,0,1,0,0,2,2,12,0,0,0,0,3,0,0,0,2,0,0,2
Bus,0,6,0,3,134,2,0,0,0,0,1,2,1,0,6,1,2,0,6,0,0,6,2,0,0,2,0,0,3,0,1,0,0,0,0,2
Chime,0,5,0,1,0,104,0,2,0,1,1,1,1,1,0,1,41,0,0,0,0,1,2,1,4,0,0,0,0,0,0,3,4,0,0,6
Clarinet,1,0,0,0,0,0,112,1,0,3,0,0,1,0,0,5,7,0,0,1,0,0,1,8,0,0,27,0,0,0,4,1,0,3,5,0
Computer keyboard,1,1,0,0,0,2,0,110,1,0,3,3,0,0,0,0,0,0,1,0,0,3,10,1,0,8,0,5,7,1,0,0,17,1,0,5
Cough,0,1,2,3,0,2,0,0,125,0,4,0,2,4,1,0,0,0,1,0,0,0,0,28,3,0,0,0,0,0,0,1,0,0,0,3
Cowbell,0,0,0,0,0,14,0,1,0,137,12,1,0,2,0,0,1,0,0,0,1,3,0,2,0,0,0,0,0,0,1,0,4,0,0,1
Drawer open or close,0,1,0,4,1,2,0,8,1,0,95,2,0,5,2,9,4,0,3,0,0,5,8,4,2,2,0,8,0,2,0,0,3,0,0,9
Electric piano,7,0,0,0,0,1,2,0,0,0,0,145,2,0,0,2,10,0,0,1,0,0,0,1,0,1,2,0,1,0,0,0,4,1,0,0
Fart,1,3,1,4,1,0,3,0,0,1,3,0,128,1,2,2,2,0,1,0,0,0,3,12,4,0,0,0,1,0,0,0,0,4,0,3
Finger snapping,2,2,1,1,1,1,0,3,3,0,7,1,0,100,0,1,2,0,11,1,1,4,2,18,0,3,0,7,0,0,0,0,2,2,0,4
Fireworks,0,6,0,1,0,0,1,1,0,0,1,0,0,0,140,2,0,1,17,0,0,2,1,0,0,0,0,0,1,0,1,1,1,1,0,2
Flute,0,0,1,0,0,0,6,0,0,0,1,1,0,0,0,164,0,1,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0
Glockenspiel,15,0,0,0,0,28,0,0,0,15,2,1,0,3,0,0,105,2,1,0,1,1,0,0,0,0,0,0,1,0,2,0,0,1,2,0
Gong,1,2,0,0,0,1,0,0,0,3,0,2,0,0,1,0,2,165,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Gunshot, gunfire",0,0,0,0,10,1,0,3,0,0,3,0,0,1,9,0,1,0,128,0,0,0,1,2,0,1,0,6,5,0,1,0,7,0,1,0
Harmonica,7,1,0,0,0,0,2,0,0,1,1,0,1,0,0,1,0,0,0,155,1,0,1,1,1,1,0,0,0,0,0,0,1,0,5,0
Hi-hat,37,32,1,2,0,0,0,0,0,33,3,4,0,0,0,0,0,1,0,0,32,0,7,3,1,0,1,0,0,0,2,0,13,0,0,8
Keys jangling,0,2,0,0,1,7,0,14,0,0,6,1,0,1,3,0,1,0,4,0,3,85,5,1,0,9,0,10,9,0,5,9,3,0,0,1
Knock,0,0,0,0,4,1,0,1,5,0,11,1,0,9,0,0,0,0,2,0,0,9,98,3,1,7,0,6,0,2,1,0,8,2,0,9
Laughter,2,0,1,5,1,0,2,0,10,0,0,0,3,3,1,1,0,0,0,7,0,0,0,129,2,0,0,0,6,0,3,0,2,1,1,0
Meow,2,2,10,2,0,1,0,3,1,0,1,1,1,0,0,0,0,0,0,0,0,2,3,5,134,2,1,0,0,0,3,0,3,1,0,2
Microwave oven,1,1,1,2,20,3,0,0,0,2,15,2,2,0,1,1,4,2,1,0,2,10,2,1,4,83,0,0,0,0,7,0,5,2,0,6
Saxophone,0,0,0,0,0,0,9,0,0,4,0,0,1,0,0,3,0,0,1,16,0,0,0,1,0,0,111,0,0,0,4,0,0,28,2,0
Scissors,1,2,1,3,3,0,0,7,3,0,16,0,0,4,0,0,0,0,1,0,0,12,3,0,0,16,0,70,0,0,1,9,3,0,0,25
Shatter,1,1,0,1,0,1,0,2,2,0,2,1,0,1,1,0,0,2,1,0,9,4,11,7,7,1,0,1,111,2,5,3,3,0,0,0
Squeak,2,1,12,2,0,0,0,1,4,1,8,5,6,1,1,4,5,0,0,3,2,7,18,6,5,0,0,1,2,66,0,2,9,0,4,2
Tambourine,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,4,0,0,0,1,0,0,0,160,2,1,0,1,4
Tearing,1,0,0,0,0,1,0,3,1,0,8,0,0,6,3,0,2,0,1,0,0,4,2,2,0,3,0,21,8,0,0,87,4,0,0,23
Telephone,1,3,0,5,0,1,0,2,1,1,7,1,2,1,2,2,0,0,4,1,1,3,6,2,2,0,0,6,2,0,1,0,120,0,0,3
Trumpet,0,0,0,0,2,1,11,2,3,1,2,1,0,0,1,0,0,0,1,0,1,1,2,2,2,0,22,0,1,0,0,0,0,120,4,0
"Violin, fiddle",1,0,0,0,0,0,12,0,0,0,3,9,0,2,0,17,3,1,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,1,123,3
Writing,10,4,0,1,1,3,0,7,0,0,4,3,1,0,0,0,0,5,3,0,0,1,9,0,16,0,0,7,1,2,0,5,4,1,0,92
