snr_db,samples,accuracy,macro_f1,micro_f1
-5,1080,0.7277777777777777,0.7233245843122657,0.7277777777777777
0,1080,0.7083333333333334,0.702249759200107,0.7083333333333334
5,1080,0.6805555555555556,0.6719971934765059,0.6805555555555556
10,1080,0.6555555555555556,0.6484896357020792,0.6555555555555556
15,1080,0.6101851851851852,0.6052500181929219,0.6101851851851852
20,1080,0.5314814814814814,0.5284846422670422,0.5314814814814814
