143,8,0,0,0,2,0,0,0,0,0,9,0,2,0,1,0,1,0,0,0,0,0,0,0,0,7,0,0,0,2,0,1,2,2,0
2,129,0,0,0,0,0,1,0,0,1,2,0,0,1,0,11,2,0,1,0,0,1,10,1,1,1,0,1,0,13,0,0,0,0,2
0,0,145,1,1,1,0,0,1,0,0,2,0,2,0,0,0,0,0,2,0,0,5,5,11,0,0,0,0,2,0,0,2,0,0,0
1,0,3,128,0,0,0,3,0,0,0,0,9,9,2,0,0,0,0,0,0,0,1,14,2,0,0,0,1,1,0,0,1,0,0,5
0,8,0,1,129,1,0,2,0,0,2,1,1,1,9,1,1,1,7,0,0,2,3,3,1,4,1,0,0,0,0,0,0,0,0,1
1,5,0,1,0,102,0,5,0,2,0,0,0,1,1,1,41,1,0,2,0,1,2,0,6,0,0,0,0,1,0,0,3,1,0,3
1,0,1,0,0,2,104,1,0,0,0,0,2,0,0,3,2,1,0,1,0,0,0,12,0,1,22,0,0,0,1,0,0,10,16,0
3,1,0,0,3,1,0,119,1,0,1,1,0,0,0,0,1,0,5,0,1,0,11,2,0,0,0,2,5,0,0,3,17,1,0,2
0,0,2,4,0,1,0,2,110,1,0,1,0,3,1,0,1,0,1,0,0,0,1,37,3,0,0,1,0,1,0,5,2,0,0,3
12,0,0,0,2,8,0,2,0,144,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,3,0,0,0,0,3,0,0,1
4,0,0,4,1,4,0,21,3,0,54,2,2,10,7,4,6,0,8,0,0,5,4,2,2,3,0,16,0,1,1,2,8,0,0,6
8,1,1,0,2,1,2,7,1,0,0,144,0,0,0,1,2,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,3,0,3,0
1,1,1,7,4,1,2,0,2,0,1,0,114,7,1,0,2,1,3,0,0,0,8,4,12,0,0,1,0,0,0,1,1,2,2,1
3,2,0,0,0,0,0,9,1,1,3,1,0,95,0,0,1,0,13,0,0,0,0,14,1,2,0,7,0,2,0,0,7,1,0,17
0,6,0,2,0,0,0,1,0,0,0,1,2,0,118,0,0,2,16,0,0,5,1,6,0,0,0,1,0,0,1,15,2,0,1,0
0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,163,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0
26,0,0,0,0,26,0,1,0,17,0,5,0,1,0,0,91,3,2,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
2,1,0,0,0,2,0,0,0,3,0,1,0,0,2,0,8,156,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
0,1,0,0,5,0,0,8,0,0,0,0,0,1,10,0,0,0,121,0,2,2,5,2,0,4,0,11,1,0,0,2,4,0,1,0
8,1,0,0,1,0,2,0,0,0,1,1,1,0,0,0,0,0,0,154,0,0,1,0,2,0,0,0,0,0,1,0,0,0,7,0
64,34,0,1,0,1,0,4,1,24,0,3,3,1,1,0,0,0,0,0,24,3,4,2,1,0,0,0,0,0,1,0,3,0,1,4
2,1,0,1,6,5,0,20,0,0,2,3,0,0,1,0,0,2,7,0,5,60,4,2,1,7,0,14,5,3,3,18,3,0,0,5
2,4,0,0,7,0,0,14,5,0,10,2,1,4,2,0,0,3,3,0,0,1,91,2,2,2,0,2,1,1,0,0,8,1,0,12
2,0,3,2,0,0,0,1,3,0,0,0,4,4,4,0,1,0,0,0,0,0,1,129,4,1,0,0,2,11,0,1,3,0,3,1
3,0,9,1,1,1,0,5,2,1,0,1,1,2,0,0,1,7,0,4,0,0,0,5,127,1,0,1,0,1,1,0,2,0,1,2
3,1,1,6,21,3,0,2,0,1,5,1,2,3,1,5,3,9,1,1,0,2,6,1,3,77,0,1,0,1,1,0,3,1,0,15
2,0,0,2,1,0,14,0,0,4,0,0,0,0,0,2,0,3,0,25,1,0,0,0,0,0,108,0,1,2,0,0,0,14,1,0
5,1,0,1,16,1,0,10,0,1,4,0,0,7,3,0,0,0,1,0,0,11,2,1,0,5,0,53,0,0,0,17,3,1,0,37
2,4,0,2,0,2,1,3,0,0,1,3,2,2,3,0,0,3,3,1,3,1,5,3,13,1,0,1,102,1,8,5,3,0,0,2
8,3,23,2,1,6,0,4,4,1,0,4,2,3,2,0,1,2,1,1,0,0,15,7,7,0,0,0,1,61,1,1,10,0,3,6
3,3,0,1,2,1,0,1,0,0,1,10,0,3,0,0,1,0,0,0,1,0,1,0,0,0,1,0,2,0,138,3,0,1,0,7
2,1,0,1,1,0,0,24,0,0,2,0,0,6,9,0,3,0,1,2,0,2,6,1,0,5,0,13,0,0,0,88,1,0,0,12
15,2,0,4,0,1,0,5,1,0,2,5,1,4,1,0,3,0,4,1,1,2,2,0,1,2,0,2,1,1,0,0,113,0,1,5
2,0,2,0,2,1,16,1,0,5,0,2,0,0,0,0,1,1,1,0,0,0,2,3,0,0,39,0,1,0,0,0,0,92,8,1
8,1,0,0,2,0,9,1,0,0,0,9,0,3,0,13,2,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,121,4
7,0,0,0,3,1,0,15,0,0,2,1,0,1,0,0,0,7,0,1,0,0,6,0,17,1,0,9,0,1,0,5,5,1,1,96
