epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1,validation_mAP
0,,,1.2474133838841945,0.6291666666666667,0.627852500074809,0.6821230169992901
1,0.5728503613087236,0.7547949735449735,1.438542440423259,0.6305555555555555,0.627560452492151,0.6810618825209764
2,0.18647108730815706,0.8584656084656085,1.6490707835297527,0.6314814814814815,0.6302328495920256,0.682468996701751
3,-0.03187009517162565,0.9212962962962963,1.9648605855894679,0.6175925925925926,0.6136874523660016,0.6618289385456824
4,-0.16628524020866112,0.9606150793650794,2.2786224253383685,0.6143518518518518,0.6109346001341514,0.660760016194786
5,-0.25956398195059843,0.9908730158730159,2.3356050750355664,0.6226851851851852,0.6184838548434312,0.6646966055887316
6,-0.2831888039354925,0.9975859788359789,2.4686119272385114,0.6162037037037037,0.6112769921480278,0.6610330107238963
