snr_db,samples,si_sdr,mixture_si_sdr,si_sdr_improvement
-5,1080,9.100385665893555,4.975853443145752,4.124530792236328
0,1080,7.031748294830322,-0.011167597025632858,7.0429158210754395
5,1080,5.245394706726074,-5.017169952392578,10.262563705444336
10,1080,2.882049560546875,-10.014276504516602,12.896327018737793
15,1080,0.25426462292671204,-15.067689895629883,15.321954727172852
20,1080,-2.4212353229522705,-20.047775268554688,17.626541137695312
