epoch,train_sep_loss,validation_si_sdr,validation_si_sdr_improvement
0,,-7.530371189117432,1.6549591919101658e-08
1,1.7075590806032614,0.15440945327281952,7.684780120849609
2,-0.2626169477821027,1.1066765785217285,8.637048721313477
3,-1.1783513562389152,1.682314395904541,9.212685585021973
4,-1.8055363168319067,2.104388475418091,9.634759902954102
5,-2.2594886340476847,2.413522720336914,9.943894386291504
6,-2.6524326346538687,2.6287896633148193,10.159160614013672
7,-2.9672120334925474,2.688082695007324,10.218453407287598
8,-3.238378319223091,2.892817974090576,10.423189163208008
9,-3.4702286319442526,2.9606008529663086,10.490972518920898
10,-3.6811914064896802,3.0601131916046143,10.590483665466309
11,-3.8544494551325603,3.046778440475464,10.5771484375
12,-4.017350544847509,3.2022383213043213,10.732608795166016
13,-4.166003285104005,3.2067208290100098,10.737091064453125
14,-4.290958872926298,3.252739429473877,10.783110618591309
15,-4.403682911396027,3.2776596546173096,10.808032035827637
16,-4.5067813783726365,3.3454620838165283,10.875833511352539
17,-4.604057621829724,3.2022666931152344,10.732637405395508
18,-4.706261199428922,3.306640863418579,10.837013244628906
19,-4.798950299636397,3.3545732498168945,10.884943962097168
20,-4.871960839771089,3.484006881713867,11.014378547668457
21,-4.942428334049447,3.4167914390563965,10.947163581848145
22,-5.010669130749172,3.4202651977539062,10.950636863708496
23,-5.07498019258812,3.3844563961029053,10.914827346801758
24,-5.4382225189259445,3.5173122882843018,11.047682762145996
25,-5.550965973687551,3.5724446773529053,11.102816581726074
26,-5.610007807691261,3.527405261993408,11.05777645111084
27,-5.662809190926729,3.682100772857666,11.212471008300781
28,-5.703464004476235,3.534161329269409,11.064532279968262
29,-5.739869681363383,3.494330406188965,11.024701118469238
30,-5.776195147680858,3.4761240482330322,11.006495475769043
31,-5.954090996898671,3.6275084018707275,11.157879829406738
32,-6.004730025296489,3.6256978511810303,11.156068801879883
33,-6.03587524777367,3.6023495197296143,11.132720947265625
34,-6.12749283957103,3.6235170364379883,11.153887748718262
35,-6.152890457930388,3.5966105461120605,11.126980781555176
