run,slice,samples,accuracy,macro_precision,macro_recall,macro_f1,micro_f1,macro_map,balanced_accuracy,macro_auc_ovr,top3_accuracy
beats_baseline,mid,2160,0.6680555555555555,,,0.6602434145892925,0.6680555555555555,,,,
run2_ce_only,mid,2160,0.6643518518518519,0.6701348404555642,0.6643518518518519,0.6551427681611981,0.6643518518518519,0.7452141968607682,0.6643518518518519,0.9704287918871253,0.8180555555555555
run3_kd_crd,mid,2160,0.675,0.6797254319014604,0.6749999999999999,0.6669234784048697,0.675,0.7310889342731717,0.6749999999999999,0.9638636463844795,0.8199074074074074
beats_baseline,full,6480,0.6523148148148148,0.6607065866516515,0.6523148148148148,0.6472171568616293,0.6523148148148148,0.7255241712073537,0.6523148148148148,0.9660209925534,
run2_ce_only,full,6480,0.654783950617284,0.6651930608739762,0.6547839506172839,0.6494806111292509,0.654783950617284,0.7252783721137399,0.6547839506172839,0.9656844993141289,0.8041666666666667
run3_kd_crd,full,6480,0.659104938271605,0.6640386608581221,0.6591049382716049,0.6530867841552156,0.659104938271605,0.7147067309262402,0.6591049382716049,0.9596206153243192,0.8087962962962963
beats_baseline,snr_-5,1080,0.7277777777777777,,,0.7233245843122657,0.7277777777777777,,,,
run2_ce_only,snr_-5,1080,0.7287037037037037,0.7418153415880704,0.7287037037037037,0.7240695734957284,0.7287037037037037,0.8019760564312137,0.7287037037037037,0.9794038800705468,0.8564814814814815
run3_kd_crd,snr_-5,1080,0.7212962962962963,0.7299409885200644,0.7212962962962963,0.7166850291285957,0.7212962962962963,0.7913517464230574,0.7212962962962963,0.9752239858906526,0.8555555555555555
beats_baseline,snr_0,1080,0.7083333333333334,,,0.702249759200107,0.7083333333333334,,,,
run2_ce_only,snr_0,1080,0.7185185185185186,0.7340405824410252,0.7185185185185187,0.712787462147284,0.7185185185185186,0.7924544634497956,0.7185185185185187,0.9767583774250441,0.8472222222222222
run3_kd_crd,snr_0,1080,0.7129629629629629,0.7310217147284388,0.712962962962963,0.709114277442707,0.7129629629629629,0.7809592307102649,0.712962962962963,0.9729012345679011,0.85
beats_baseline,snr_10,1080,0.6555555555555556,,,0.6484896357020792,0.6555555555555556,,,,
run2_ce_only,snr_10,1080,0.6601851851851852,0.6627355135190277,0.6601851851851852,0.6511969076319812,0.6601851851851852,0.7357054035619361,0.6601851851851852,0.968536155202822,0.812962962962963
run3_kd_crd,snr_10,1080,0.6685185185185185,0.669175748525474,0.6685185185185185,0.6580679701446001,0.6685185185185185,0.7246959750690244,0.6685185185185185,0.9614982363315696,0.812962962962963
beats_baseline,snr_15,1080,0.6101851851851852,,,0.6052500181929219,0.6101851851851852,,,,
run2_ce_only,snr_15,1080,0.6194444444444445,0.6400357235553119,0.6194444444444445,0.6155379011440848,0.6194444444444445,0.6805310935823686,0.6194444444444445,0.954852733686067,0.7712962962962963
run3_kd_crd,snr_15,1080,0.6212962962962963,0.624317838982942,0.6212962962962962,0.6140255172511189,0.6212962962962963,0.6731733654011042,0.6212962962962962,0.9473932980599648,0.7777777777777778
beats_baseline,snr_20,1080,0.5314814814814814,,,0.5284846422670422,0.5314814814814814,,,,
run2_ce_only,snr_20,1080,0.5333333333333333,0.5639766331595736,0.5333333333333334,0.5323736343200414,0.5333333333333333,0.588217641312709,0.5333333333333334,0.9333183421516755,0.7138888888888889
run3_kd_crd,snr_20,1080,0.549074074074074,0.5571155576518904,0.5490740740740742,0.542429783597925,0.549074074074074,0.5900072427320336,0.5490740740740742,0.9272094356261023,0.7296296296296296
beats_baseline,snr_5,1080,0.6805555555555556,,,0.6719971934765059,0.6805555555555556,,,,
run2_ce_only,snr_5,1080,0.6685185185185185,0.6873538529665647,0.6685185185185185,0.6594081745568219,0.6685185185185185,0.7599828869512032,0.6685185185185185,0.9724629629629633,0.8231481481481482
run3_kd_crd,snr_5,1080,0.6814814814814815,0.6975895471123966,0.6814814814814816,0.6751820866339423,0.6814814814814815,0.7427606927800613,0.6814814814814816,0.9662222222222222,0.8268518518518518
