run_a,run_b,slice,samples,accuracy_a,accuracy_b,delta_accuracy,both_correct,both_wrong,only_a_correct,only_b_correct,chi2,p_value,significant_at_0.05
run1_baseline,run3b_crd_only,snr_15,1080,0.613889,0.62037,0.006481,638,385,25,32,0.631579,0.426777,no
run1_baseline,run3c_kd_only,snr_15,1080,0.613889,0.619444,0.005556,643,391,20,26,0.543478,0.460995,no
run2_ce_only,run3_kd_crd,snr_15,1080,0.618519,0.625926,0.007407,632,368,36,44,0.6125,0.433848,no
run2_ce_only,run3b_crd_only,snr_15,1080,0.618519,0.62037,0.001852,640,382,28,30,0.017241,0.895533,no
run2_ce_only,run3c_kd_only,snr_15,1080,0.618519,0.619444,0.000926,645,388,23,24,0.0,1.0,no
run3_kd_crd,run3b_crd_only,snr_15,1080,0.625926,0.62037,-0.005556,639,373,37,31,0.367647,0.54429,no
run3_kd_crd,run3c_kd_only,snr_15,1080,0.625926,0.619444,-0.006481,636,371,40,33,0.493151,0.482525,no
run3b_crd_only,run3c_kd_only,snr_15,1080,0.62037,0.619444,-0.000926,644,385,26,25,0.0,1.0,no
run1_baseline,run2_ce_only,snr_20,1080,0.537963,0.533333,-0.00463,552,475,29,24,0.301887,0.582702,no
run1_baseline,run3_kd_crd,snr_20,1080,0.537963,0.559259,0.021296,546,441,35,58,5.204301,0.022531,yes
run1_baseline,run3b_crd_only,snr_20,1080,0.537963,0.547222,0.009259,553,461,28,38,1.227273,0.267938,no
run1_baseline,run3c_kd_only,snr_20,1080,0.537963,0.54537,0.007407,559,469,22,30,0.942308,0.331685,no
run2_ce_only,run3_kd_crd,snr_20,1080,0.533333,0.559259,0.025926,530,430,46,74,6.075,0.013711,yes
run2_ce_only,run3b_crd_only,snr_20,1080,0.533333,0.547222,0.013889,545,458,31,46,2.545455,0.110612,no
run2_ce_only,run3c_kd_only,snr_20,1080,0.533333,0.54537,0.012037,551,466,25,38,2.285714,0.13057,no
run3_kd_crd,run3b_crd_only,snr_20,1080,0.559259,0.547222,-0.012037,555,440,49,36,1.694118,0.193059,no
run3_kd_crd,run3c_kd_only,snr_20,1080,0.559259,0.54537,-0.013889,555,442,49,34,2.361446,0.124367,no
run3b_crd_only,run3c_kd_only,snr_20,1080,0.547222,0.54537,-0.001852,561,461,30,28,0.017241,0.895533,no
run1_baseline,run2_ce_only,snr_5,1080,0.685185,0.67037,-0.014815,715,331,25,9,6.617647,0.010097,yes
run1_baseline,run3_kd_crd,snr_5,1080,0.685185,0.681481,-0.003704,699,303,41,37,0.115385,0.734095,no
run1_baseline,run3b_crd_only,snr_5,1080,0.685185,0.676852,-0.008333,710,319,30,21,1.254902,0.262618,no
run1_baseline,run3c_kd_only,snr_5,1080,0.685185,0.681481,-0.003704,716,320,24,20,0.204545,0.651077,no
run2_ce_only,run3_kd_crd,snr_5,1080,0.67037,0.681481,0.011111,691,311,33,45,1.551282,0.212946,no
run2_ce_only,run3b_crd_only,snr_5,1080,0.67037,0.676852,0.006481,702,327,22,29,0.705882,0.400814,no
run2_ce_only,run3c_kd_only,snr_5,1080,0.67037,0.681481,0.011111,710,330,14,26,3.025,0.08199,no
run3_kd_crd,run3b_crd_only,snr_5,1080,0.681481,0.676852,-0.00463,702,315,34,29,0.253968,0.614295,no
run3_kd_crd,run3c_kd_only,snr_5,1080,0.681481,0.681481,0.0,705,313,31,31,0.016129,0.89894,no
run3b_crd_only,run3c_kd_only,snr_5,1080,0.676852,0.681481,0.00463,715,328,16,21,0.432432,0.510798,no
