run,slice,label,precision,recall,f1,support,average_precision
run2_ce_only,full,Bark,0.830688,0.872222,0.850949,180,0.925959
run2_ce_only,full,"Burping, eructation",0.816456,0.716667,0.763314,180,0.851441
run2_ce_only,full,Bus,0.733696,0.75,0.741758,180,0.794417
run2_ce_only,full,Chime,0.555556,0.555556,0.555556,180,0.657554
run2_ce_only,full,Clarinet,0.788618,0.538889,0.640264,180,0.737783
run2_ce_only,full,Computer keyboard,0.679487,0.588889,0.630952,180,0.721122
run2_ce_only,full,Cough,0.788462,0.683333,0.732143,180,0.756412
run2_ce_only,full,Cowbell,0.676617,0.755556,0.713911,180,0.791704
run2_ce_only,full,Drawer open or close,0.475138,0.477778,0.476454,180,0.524885
run2_ce_only,full,Electric piano,0.696682,0.816667,0.751918,180,0.858698
run2_ce_only,full,Fart,0.815476,0.761111,0.787356,180,0.858165
run2_ce_only,full,Finger snapping,0.677419,0.583333,0.626866,180,0.672332
run2_ce_only,full,Fireworks,0.862745,0.733333,0.792793,180,0.860879
run2_ce_only,full,Flute,0.761261,0.938889,0.840796,180,0.932158
run2_ce_only,full,Glockenspiel,0.462185,0.611111,0.526316,180,0.516451
run2_ce_only,full,Gong,0.788018,0.95,0.861461,180,0.966533
run2_ce_only,full,"Gunshot, gunfire",0.590517,0.761111,0.665049,180,0.786982
run2_ce_only,full,Harmonica,0.843243,0.866667,0.854795,180,0.919761
run2_ce_only,full,Hi-hat,0.642857,0.2,0.305085,180,0.488336
run2_ce_only,full,Keys jangling,0.566434,0.45,0.501548,180,0.552403
run2_ce_only,full,Knock,0.483092,0.555556,0.516796,180,0.596641
run2_ce_only,full,Laughter,0.476364,0.727778,0.575824,180,0.728729
run2_ce_only,full,Meow,0.713514,0.733333,0.723288,180,0.790547
run2_ce_only,full,Microwave oven,0.56338,0.444444,0.496894,180,0.523347
run2_ce_only,full,Saxophone,0.657303,0.65,0.653631,180,0.733814
run2_ce_only,full,Scissors,0.481481,0.361111,0.412698,180,0.468834
run2_ce_only,full,Shatter,0.695122,0.633333,0.662791,180,0.721016
run2_ce_only,full,Squeak,0.795455,0.388889,0.522388,180,0.555151
run2_ce_only,full,Tambourine,0.786408,0.9,0.839378,180,0.915324
run2_ce_only,full,Tearing,0.700787,0.494444,0.579805,180,0.630763
run2_ce_only,full,Telephone,0.595855,0.638889,0.616622,180,0.703582
run2_ce_only,full,Trumpet,0.663212,0.711111,0.686327,180,0.739341
run2_ce_only,full,"Violin, fiddle",0.711111,0.711111,0.711111,180,0.794443
run2_ce_only,full,Writing,0.376984,0.527778,0.439815,180,0.538642
run2_ce_only,mid,Acoustic guitar,0.55,0.733333,0.628571,60,0.774423
run2_ce_only,mid,Applause,0.6,0.75,0.666667,60,0.754805
run2_ce_only,mid,Bark,0.833333,0.916667,0.873016,60,0.952794
run2_ce_only,mid,"Burping, eructation",0.807018,0.766667,0.786325,60,0.901721
run2_ce_only,mid,Bus,0.733333,0.916667,0.814815,60,0.862435
run2_ce_only,mid,Chime,0.526316,0.5,0.512821,60,0.62578
run2_ce_only,mid,Clarinet,0.756757,0.466667,0.57732,60,0.692077
run2_ce_only,mid,Computer keyboard,0.649123,0.616667,0.632479,60,0.747068
run2_ce_only,mid,Cough,0.767857,0.716667,0.741379,60,0.771094
run2_ce_only,mid,Cowbell,0.707692,0.766667,0.736,60,0.811821
run2_ce_only,mid,Drawer open or close,0.423077,0.366667,0.392857,60,0.448689
run2_ce_only,mid,Electric piano,0.75,0.85,0.796875,60,0.911835
run2_ce_only,mid,Fart,0.777778,0.7,0.736842,60,0.8467
run2_ce_only,mid,Finger snapping,0.705882,0.6,0.648649,60,0.698012
run2_ce_only,mid,Fireworks,0.958333,0.766667,0.851852,60,0.90364
run2_ce_only,mid,Flute,0.75,0.95,0.838235,60,0.923543
run2_ce_only,mid,Glockenspiel,0.468354,0.616667,0.532374,60,0.514154
run2_ce_only,mid,Gong,0.819444,0.983333,0.893939,60,0.990807
run2_ce_only,mid,"Gunshot, gunfire",0.647887,0.766667,0.70229,60,0.807022
run2_ce_only,mid,Harmonica,0.85,0.85,0.85,60,0.914602
run2_ce_only,mid,Hi-hat,0.555556,0.166667,0.25641,60,0.46088
run2_ce_only,mid,Keys jangling,0.62,0.516667,0.563636,60,0.658093
run2_ce_only,mid,Knock,0.507692,0.55,0.528,60,0.626225
run2_ce_only,mid,Laughter,0.515789,0.816667,0.632258,60,0.792569
run2_ce_only,mid,Meow,0.701493,0.783333,0.740157,60,0.832864
run2_ce_only,mid,Microwave oven,0.585366,0.4,0.475248,60,0.503934
run2_ce_only,mid,Saxophone,0.648148,0.583333,0.614035,60,0.719448
run2_ce_only,mid,Scissors,0.628571,0.366667,0.463158,60,0.56534
run2_ce_only,mid,Shatter,0.75,0.7,0.724138,60,0.780148
run2_ce_only,mid,Squeak,0.769231,0.333333,0.465116,60,0.571436
run2_ce_only,mid,Tambourine,0.828125,0.883333,0.854839,60,0.897945
run2_ce_only,mid,Tearing,0.55102,0.45,0.495413,60,0.577094
run2_ce_only,mid,Telephone,0.584416,0.75,0.656934,60,0.7953
run2_ce_only,mid,Trumpet,0.69697,0.766667,0.730159,60,0.808452
run2_ce_only,mid,"Violin, fiddle",0.754098,0.766667,0.760331,60,0.817345
run2_ce_only,mid,Writing,0.3875,0.516667,0.442857,60,0.561816
run3_kd_crd,full,Acoustic guitar,0.570248,0.766667,0.654028,180,0.783168
run3_kd_crd,full,Applause,0.646018,0.811111,0.719212,180,0.756762
run3_kd_crd,full,Bark,0.847458,0.833333,0.840336,180,0.931705
run3_kd_crd,full,"Burping, eructation",0.845679,0.761111,0.80117,180,0.863657
run3_kd_crd,full,Bus,0.704082,0.766667,0.734043,180,0.769279
run3_kd_crd,full,Chime,0.692308,0.55,0.613003,180,0.637129
run3_kd_crd,full,Clarinet,0.663043,0.677778,0.67033,180,0.730583
run3_kd_crd,full,Computer keyboard,0.57277,0.677778,0.620865,180,0.719141
run3_kd_crd,full,Cough,0.724138,0.7,0.711864,180,0.750091
run3_kd_crd,full,Cowbell,0.731579,0.772222,0.751351,180,0.807978
run3_kd_crd,full,Drawer open or close,0.616667,0.411111,0.493333,180,0.519518
run3_kd_crd,full,Electric piano,0.751295,0.805556,0.77748,180,0.831746
run3_kd_crd,full,Fart,0.681373,0.772222,0.723958,180,0.854215
run3_kd_crd,full,Finger snapping,0.677419,0.583333,0.626866,180,0.672015
run3_kd_crd,full,Fireworks,0.770588,0.727778,0.748571,180,0.802716
run3_kd_crd,full,Flute,0.782407,0.938889,0.853535,180,0.934335
run3_kd_crd,full,Glockenspiel,0.52551,0.572222,0.547872,180,0.473183
run3_kd_crd,full,Gong,0.848039,0.961111,0.901042,180,0.965643
run3_kd_crd,full,"Gunshot, gunfire",0.617512,0.744444,0.675063,180,0.764057
run3_kd_crd,full,Harmonica,0.901734,0.866667,0.883853,180,0.926123
run3_kd_crd,full,Hi-hat,0.741379,0.238889,0.361345,180,0.515543
run3_kd_crd,full,Keys jangling,0.577181,0.477778,0.522796,180,0.593526
run3_kd_crd,full,Knock,0.551724,0.533333,0.542373,180,0.620434
run3_kd_crd,full,Laughter,0.56682,0.683333,0.619647,180,0.696766
run3_kd_crd,full,Meow,0.640777,0.733333,0.683938,180,0.794391
run3_kd_crd,full,Microwave oven,0.535032,0.466667,0.498516,180,0.513977
run3_kd_crd,full,Saxophone,0.689474,0.727778,0.708108,180,0.795344
run3_kd_crd,full,Scissors,0.440994,0.394444,0.416422,180,0.451473
run3_kd_crd,full,Shatter,0.666667,0.644444,0.655367,180,0.737099
run3_kd_crd,full,Squeak,0.698113,0.411111,0.517483,180,0.548832
run3_kd_crd,full,Tambourine,0.729358,0.883333,0.798995,180,0.895407
run3_kd_crd,full,Tearing,0.542373,0.533333,0.537815,180,0.627061
run3_kd_crd,full,Telephone,0.601093,0.611111,0.606061,180,0.707484
run3_kd_crd,full,Trumpet,0.69697,0.638889,0.666667,180,0.752713
run3_kd_crd,full,"Violin, fiddle",0.822695,0.644444,0.722741,180,0.756386
run3_kd_crd,full,Writing,0.389558,0.538889,0.452214,180,0.531627
run3_kd_crd,mid,Acoustic guitar,0.546512,0.783333,0.643836,60,0.815204
run3_kd_crd,mid,Applause,0.632911,0.833333,0.719424,60,0.760972
run3_kd_crd,mid,Bark,0.866667,0.866667,0.866667,60,0.959996
run3_kd_crd,mid,"Burping, eructation",0.830508,0.816667,0.823529,60,0.889466
run3_kd_crd,mid,Bus,0.757143,0.883333,0.815385,60,0.83954
run3_kd_crd,mid,Chime,0.731707,0.5,0.594059,60,0.605485
run3_kd_crd,mid,Clarinet,0.655738,0.666667,0.661157,60,0.692097
run3_kd_crd,mid,Computer keyboard,0.561644,0.683333,0.616541,60,0.729999
run3_kd_crd,mid,Cough,0.676923,0.733333,0.704,60,0.758571
run3_kd_crd,mid,Cowbell,0.723077,0.783333,0.752,60,0.804319
run3_kd_crd,mid,Drawer open or close,0.540541,0.333333,0.412371,60,0.460095
run3_kd_crd,mid,Electric piano,0.852459,0.866667,0.859504,60,0.901564
run3_kd_crd,mid,Fart,0.628571,0.733333,0.676923,60,0.857405
run3_kd_crd,mid,Finger snapping,0.645833,0.516667,0.574074,60,0.636615
run3_kd_crd,mid,Fireworks,0.849057,0.75,0.79646,60,0.869456
run3_kd_crd,mid,Flute,0.763158,0.966667,0.852941,60,0.928298
run3_kd_crd,mid,Glockenspiel,0.545455,0.6,0.571429,60,0.480688
run3_kd_crd,mid,Gong,0.852941,0.966667,0.90625,60,0.974282
run3_kd_crd,mid,"Gunshot, gunfire",0.681159,0.783333,0.728682,60,0.800424
run3_kd_crd,mid,Harmonica,0.928571,0.866667,0.896552,60,0.936223
run3_kd_crd,mid,Hi-hat,0.647059,0.183333,0.285714,60,0.440517
run3_kd_crd,mid,Keys jangling,0.634615,0.55,0.589286,60,0.673912
run3_kd_crd,mid,Knock,0.555556,0.5,0.526316,60,0.614917
run3_kd_crd,mid,Laughter,0.60274,0.733333,0.661654,60,0.72256
run3_kd_crd,mid,Meow,0.666667,0.8,0.727273,60,0.830928
run3_kd_crd,mid,Microwave oven,0.577778,0.433333,0.495238,60,0.470306
run3_kd_crd,mid,Saxophone,0.684211,0.65,0.666667,60,0.793153
run3_kd_crd,mid,Scissors,0.490566,0.433333,0.460177,60,0.529583
