epoch,train_sep_loss,validation_si_sdr,validation_si_sdr_improvement
0,,-7.844000339508057,-0.3136289119720459
1,1.0429769789100325,0.39393916726112366,7.924309730529785
2,-1.1222889642709146,1.5198791027069092,9.050250053405762
3,-1.9749092251377762,1.9817814826965332,9.512152671813965
4,-2.556396282460324,2.3488924503326416,9.879263877868652
5,-2.960399927427529,2.6541647911071777,10.184535026550293
6,-3.2722689206322664,2.922151803970337,10.452522277832031
7,-3.5397652043236625,2.921536445617676,10.45190715789795
8,-3.7502314747956693,2.9929656982421875,10.523336410522461
9,-3.9356660718324954,3.073141098022461,10.60351276397705
10,-4.108327602898633,3.2561936378479004,10.786564826965332
11,-4.245457432698951,3.221637487411499,10.752008438110352
12,-4.372261331888733,3.2429237365722656,10.773295402526855
13,-4.492872020854521,3.362582206726074,10.892953872680664
14,-4.590544294238721,3.336012601852417,10.86638355255127
15,-4.682354716522984,3.430375814437866,10.960748672485352
16,-4.763901786703281,3.507575511932373,11.037947654724121
17,-4.846895569342154,3.297219753265381,10.827589988708496
18,-4.927325197597029,3.4948160648345947,11.025186538696289
19,-4.9909742602595575,3.463956356048584,10.994328498840332
20,-5.340689485665982,3.596384286880493,11.126753807067871
21,-5.443438374680817,3.587007522583008,11.117379188537598
22,-5.496367782385891,3.5199971199035645,11.05036735534668
23,-5.546476220580005,3.5631091594696045,11.093480110168457
24,-5.722171557643426,3.630462408065796,11.160833358764648
25,-5.771975378006224,3.6437015533447266,11.174071311950684
26,-5.802789946712514,3.599275827407837,11.129646301269531
27,-5.830068857203085,3.6389310359954834,11.169301986694336
28,-5.855355500922632,3.5717029571533203,11.102073669433594
29,-5.945220658892677,3.597188711166382,11.127559661865234
30,-5.967679672392588,3.5878093242645264,11.118179321289062
