epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_macro_f1
0,,,1.4100490057909931,0.6351851851851852,0.6353396742767348
1,0.9344377899926807,0.7398809523809524,1.1571755400410404,0.6893518518518519,0.6890999907860013
2,0.5206450086737436,0.8553571428571428,1.2426275862587823,0.6884259259259259,0.6881472593630039
3,0.27110627207254606,0.9351190476190476,1.3160589041533293,0.6856481481481481,0.684187092449591
4,0.12691888163487117,0.976984126984127,1.3424187607235378,0.6912037037037037,0.689777541747599
5,0.08051645716740971,0.9898809523809524,1.3859066433376737,0.6861111111111111,0.6854510082040177
6,0.049833047709294725,0.9962301587301587,1.4275847682246456,0.6893518518518519,0.6884298751081267
7,0.03086286194267727,0.9992063492063492,1.4480929065633703,0.687962962962963,0.6864583681801527
8,0.02468918120813748,0.9998015873015873,1.4669279177983603,0.6875,0.6861122066310362
